date,cases_new,cases_import,cases_recovered,cases_active,deaths_new,vax_daily_doses,vax_cumul_fully_vaccinated,vax_cumul_booster
2021-03-07,1683,10,2506,20329,3,12613,70,0
2021-03-08,1529,9,2076,19774,8,27223,87,0
2021-03-09,1280,2,2345,18700,9,30132,150,0
2021-03-10,1448,10,2137,18006,5,28785,162,0
2021-03-11,1647,5,2104,17540,9,26519,174,0
2021-03-12,1575,7,2042,17070,3,26133,184,0
2021-03-13,1470,12,1830,16707,3,17064,187,0
2021-03-14,1354,14,1782,16275,4,10315,192,0
2021-03-15,1208,9,1973,15507,3,20396,195,0
2021-03-16,1063,4,1365,15200,5,25484,202,0
2021-03-17,1219,7,1346,15071,2,20866,269,0
2021-03-18,1213,6,1503,14778,3,18113,1067,0
2021-03-19,1576,11,1996,14356,2,14576,4902,0
2021-03-20,1671,2,1585,14438,4,13814,11016,0
2021-03-21,1327,11,1247,14514,4,15568,16871,0
2021-03-22,1116,8,1495,14130,5,24299,31449,0
2021-03-23,1384,9,1058,14455,1,29182,52327,0
2021-03-24,1268,5,1083,14638,2,29122,75157,0
2021-03-25,1360,1,1491,14505,2,25807,94529,0
2021-03-26,1275,32,1509,14270,1,16755,107345,0
2021-03-27,1199,5,1257,14210,2,16150,121793,0
2021-03-28,1302,9,1127,14381,4,16626,134735,0
2021-03-29,941,8,1097,14220,5,35250,162120,0
2021-03-30,1133,8,1148,14201,4,40952,191544,0
2021-03-31,1482,2,1070,14605,8,37476,219068,0
2021-04-01,1178,20,1377,14400,6,42476,245630,0
2021-04-02,1294,26,1442,14247,5,30484,268540,0
2021-04-03,1638,7,1449,14433,3,17421,283291,0
2021-04-04,1349,7,1270,14510,2,15203,292463,0
2021-04-05,1070,9,1294,14279,7,28705,311963,0
2021-04-06,1300,24,1412,14162,5,32726,333660,0
